Order ID,Customer ID,IDSeller,Order Date,Ship Date,Postal Code,IDShip,IDSegment,Returned
CA-2017-165841,DB-13210,3,2017-12-21,2017-12-28,7501,1,3,Not
CA-2017-163510,JW-15955,4,2017-12-25,2017-12-28,40214,2,3,Not
CA-2017-169978,HG-15025,3,2017-12-24,2017-12-28,11572,1,3,Not
CA-2017-124296,CS-12355,4,2017-12-24,2017-12-28,70506,1,3,Not
US-2017-162670,MF-18250,4,2017-12-23,2017-12-28,72209,2,2,Not
CA-2017-148355,NC-18535,3,2017-12-24,2017-12-28,2740,1,2,Not
CA-2017-150910,JL-15130,4,2017-12-22,2017-12-28,38301,1,3,Yes
CA-2017-105620,JH-15430,4,2017-12-25,2017-12-28,33012,3,3,Not
CA-2017-155376,SG-20080,1,2017-12-22,2017-12-27,64055,1,3,Not
CA-2017-127929,FM-14215,3,2017-12-23,2017-12-27,6457,1,2,Not
CA-2017-134404,DR-12880,3,2017-12-27,2017-12-27,43055,4,2,Not
CA-2017-144827,SE-20110,2,2017-12-21,2017-12-27,92627,1,3,Not
CA-2017-119578,JG-15310,3,2017-12-22,2017-12-27,2908,2,2,Not
CA-2017-106782,LP-17095,1,2017-12-21,2017-12-27,47905,1,3,Not
CA-2017-140627,DK-12985,4,2017-12-23,2017-12-27,37075,1,3,Not
CA-2017-121195,NS-18505,1,2017-12-24,2017-12-27,75220,3,3,Not
CA-2017-105480,DK-13225,3,2017-12-20,2017-12-26,14609,1,2,Not
CA-2017-115931,JM-15655,2,2017-12-22,2017-12-26,88220,1,2,Not
CA-2017-107461,PK-19075,4,2017-12-21,2017-12-26,29203,2,3,Not
CA-2017-121741,YC-21895,1,2017-12-26,2017-12-26,68025,4,2,Not
CA-2017-104927,AG-10330,1,2017-12-22,2017-12-26,77095,1,3,Not
CA-2017-102197,DK-13150,3,2017-12-20,2017-12-26,10009,1,2,Not
CA-2017-100412,SR-20425,4,2017-12-22,2017-12-26,35401,1,1,Not
CA-2017-146164,CM-12190,1,2017-12-22,2017-12-26,55901,1,3,Not
CA-2017-163405,BN-11515,2,2017-12-21,2017-12-25,90049,1,3,Not
CA-2017-138380,YS-21880,2,2017-12-21,2017-12-25,94601,1,2,Not
CA-2017-120376,TP-21130,1,2017-12-22,2017-12-25,48227,3,3,Not
CA-2017-121216,MM-17920,1,2017-12-23,2017-12-25,77840,2,3,Not
CA-2017-145219,RM-19675,2,2017-12-24,2017-12-25,90049,3,1,Not
CA-2017-117443,JB-15400,1,2017-12-23,2017-12-25,61107,2,2,Not
CA-2017-142909,AG-10330,2,2017-12-22,2017-12-25,85204,2,3,Not
CA-2017-115602,DJ-13630,3,2017-12-18,2017-12-24,10009,1,3,Not
CA-2017-128160,MM-17920,2,2017-12-19,2017-12-24,94110,2,3,Not
CA-2017-145310,JP-15520,4,2017-12-22,2017-12-24,32127,2,3,Not
CA-2017-109589,BD-11635,4,2017-12-21,2017-12-24,42104,3,3,Not
CA-2017-119193,SK-19990,3,2017-12-22,2017-12-24,43615,3,3,Not
CA-2017-149699,CM-12115,2,2017-12-22,2017-12-24,90008,3,3,Not
CA-2017-158736,TT-21460,2,2017-12-18,2017-12-24,94110,1,1,Not
CA-2017-143252,HE-14800,1,2017-12-18,2017-12-24,53209,1,2,Not
US-2017-123463,GZ-14470,2,2017-12-23,2017-12-23,94109,4,3,Not
CA-2017-140585,RA-19915,2,2017-12-18,2017-12-23,92024,2,3,Yes
CA-2017-105886,DB-13660,3,2017-12-18,2017-12-23,11572,1,3,Not
CA-2017-104381,RD-19810,3,2017-12-16,2017-12-23,14609,1,1,Not
CA-2017-116946,TS-21505,2,2017-12-19,2017-12-23,80134,1,3,Not
CA-2017-103443,AT-10735,3,2017-12-17,2017-12-23,10009,1,3,Not
CA-2017-156664,BP-11290,3,2017-12-18,2017-12-23,43229,1,3,Not
CA-2017-107342,VF-21715,1,2017-12-17,2017-12-22,47201,1,1,Not
CA-2017-164000,AH-10030,3,2017-12-18,2017-12-22,19134,1,2,Not
US-2017-116701,LC-17140,1,2017-12-17,2017-12-21,75220,2,3,Not
CA-2017-133431,LC-17140,2,2017-12-17,2017-12-21,94122,1,3,Not
CA-2017-137428,AY-10555,2,2017-12-16,2017-12-21,92054,2,2,Yes
CA-2017-116855,AI-10855,4,2017-12-17,2017-12-21,23320,1,3,Not
CA-2017-158729,AC-10450,4,2017-12-19,2017-12-21,70506,3,3,Yes
CA-2017-137456,RB-19465,1,2017-12-21,2017-12-21,68025,4,1,Not
CA-2017-130309,GB-14575,4,2017-12-17,2017-12-21,22204,1,3,Not
CA-2017-120936,CA-12310,2,2017-12-17,2017-12-21,92804,1,2,Not
CA-2017-161578,RB-19465,2,2017-12-16,2017-12-21,90036,2,1,Not
CA-2017-155362,DP-13105,1,2017-12-17,2017-12-21,54703,1,2,Not
CA-2017-106964,HR-14770,2,2017-12-17,2017-12-20,90045,3,1,Not
CA-2017-111808,AR-10510,1,2017-12-16,2017-12-20,74133,1,3,Not
CA-2017-122595,GM-14455,1,2017-12-14,2017-12-20,60653,1,1,Not
CA-2017-119564,PL-18925,2,2017-12-15,2017-12-20,98115,1,1,Not
CA-2017-147333,KL-16555,4,2017-12-14,2017-12-20,72701,1,2,Not
CA-2017-108287,AG-10330,4,2017-12-18,2017-12-20,28205,3,3,Not
CA-2017-137463,KM-16225,2,2017-12-16,2017-12-20,94086,2,2,Not
CA-2017-102099,EP-13915,2,2017-12-18,2017-12-19,90008,3,3,Not
CA-2017-136063,SS-20140,1,2017-12-15,2017-12-19,60302,1,2,Not
US-2017-113992,LC-16885,1,2017-12-14,2017-12-19,75023,1,3,Not
CA-2017-154116,KM-16660,2,2017-12-15,2017-12-19,90301,1,3,Not
CA-2017-169859,MP-18175,2,2017-12-14,2017-12-18,92024,1,1,Yes
CA-2017-129581,KN-16390,3,2017-11-12,2017-12-18,2740,1,2,Not
CA-2017-151799,BF-11170,3,2017-12-14,2017-12-18,1841,1,1,Not
CA-2017-135377,BP-11095,3,2017-12-13,2017-12-18,10024,1,2,Not
CA-2017-122770,EP-13915,2,2017-12-13,2017-12-18,94122,1,3,Not
CA-2017-167150,BP-11185,2,2017-10-12,2017-12-17,92037,1,2,Not
US-2017-160759,AI-10855,3,2017-11-12,2017-12-17,19120,1,3,Not
CA-2017-168389,DV-13045,4,2017-11-12,2017-12-17,32216,1,2,Not
CA-2017-153871,RB-19435,3,2017-11-12,2017-12-17,7060,1,3,Not
US-2017-103814,LH-16900,1,2017-09-12,2017-12-16,60068,1,3,Not
CA-2017-101798,MV-18190,3,2017-11-12,2017-12-15,10009,1,3,Not
CA-2017-129833,HF-14995,1,2017-09-12,2017-12-15,46203,1,3,Not
CA-2017-148922,SU-20665,4,2017-10-12,2017-12-15,39212,2,1,Not
CA-2017-148012,KM-16225,3,2017-09-12,2017-12-15,19143,1,2,Not
CA-2017-100230,AA-10375,3,2017-11-12,2017-12-15,10035,1,3,Not
US-2017-135503,JE-16165,4,2017-10-12,2017-12-15,29406,1,2,Not
US-2017-167570,EG-13900,3,2017-08-12,2017-12-15,19140,1,3,Not
US-2017-132927,RD-19720,3,2017-09-12,2017-12-15,19134,1,3,Not
CA-2017-102659,LW-17215,1,2017-09-12,2017-12-15,49505,1,3,Not
CA-2017-108329,LE-16810,2,2017-09-12,2017-12-14,90604,1,3,Not
CA-2017-157651,HA-14920,3,2017-10-12,2017-12-14,19120,1,3,Not
CA-2017-148446,MC-17845,2,2017-10-12,2017-12-14,89031,2,3,Not
CA-2017-109715,AH-10585,1,2017-09-12,2017-12-14,60623,1,3,Not
CA-2017-108854,DM-13345,2,2017-08-12,2017-12-14,94109,1,2,Not
CA-2017-107629,DB-13060,1,2017-12-14,2017-12-14,60076,4,3,Not
CA-2017-142776,RS-19870,1,2017-11-12,2017-12-14,52601,2,1,Not
CA-2017-142328,TC-21535,2,2017-07-12,2017-12-14,94122,1,1,Yes
US-2017-145366,CA-12310,3,2017-09-12,2017-12-13,45231,1,2,Not
CA-2017-139199,DK-12835,1,2017-09-12,2017-12-13,48234,1,2,Not
CA-2017-102407,AT-10435,2,2017-09-12,2017-12-13,90004,2,1,Not
US-2017-122714,HG-14965,1,2017-07-12,2017-12-13,60653,1,2,Not
CA-2017-117324,JP-15520,1,2017-08-12,2017-12-13,53711,1,3,Not
CA-2017-107986,MW-18220,2,2017-12-13,2017-12-13,98103,4,3,Not
CA-2017-139402,NC-18535,2,2017-09-12,2017-12-13,85023,1,2,Not
CA-2017-165099,DK-13375,1,2017-11-12,2017-12-13,79605,3,3,Not
US-2017-110149,WB-21850,3,2017-10-12,2017-12-13,19143,3,3,Not
US-2017-125213,NB-18655,3,2017-11-12,2017-12-13,7501,3,2,Not
CA-2017-117457,KH-16510,2,2017-08-12,2017-12-12,94110,1,3,Not
CA-2017-143798,AW-10840,3,2017-10-12,2017-12-12,19140,3,3,Not
CA-2017-158967,BT-11680,4,2017-10-12,2017-12-12,33311,3,3,Not
US-2017-140907,BP-11185,2,2017-10-12,2017-12-12,98103,2,2,Not
CA-2017-134285,DS-13180,1,2017-07-12,2017-12-12,78207,1,2,Not
CA-2017-107748,AG-10330,2,2017-10-12,2017-12-12,95207,2,3,Not
CA-2017-117926,AS-10225,2,2017-08-12,2017-12-12,94109,2,2,Yes
CA-2017-149706,AS-10285,1,2017-11-12,2017-12-12,60067,3,2,Not
US-2017-167920,JL-15835,4,2017-09-12,2017-12-12,40475,2,3,Not
CA-2017-135587,BH-11710,4,2017-07-12,2017-12-12,39401,1,3,Not
US-2017-109484,RB-19705,2,2017-06-11,2017-12-11,97206,1,1,Not
US-2017-107272,TS-21610,2,2017-05-11,2017-12-11,85023,1,3,Not
CA-2017-160514,DB-13120,2,2017-12-11,2017-12-11,95051,1,2,Not
CA-2017-134978,EB-13705,3,2017-12-11,2017-12-11,10024,2,2,Not
CA-2017-130386,NG-18430,1,2017-12-11,2017-12-11,78745,1,3,Not
US-2017-116659,NG-18355,3,2017-12-11,2017-12-11,43055,4,2,Not
CA-2017-122504,DB-13270,2,2017-07-11,2017-12-11,94513,2,1,Yes
CA-2017-134915,EM-14140,2,2017-12-11,2017-12-11,85301,4,1,Not
CA-2017-164168,LS-16975,1,2017-12-11,2017-12-11,75081,1,1,Not
CA-2017-152912,BM-11650,3,2017-09-11,2017-12-11,21044,2,2,Not
CA-2017-122644,SF-20965,3,2017-12-11,2017-12-11,43229,1,2,Not
CA-2017-152737,TS-21505,2,2017-07-11,2017-12-11,94122,1,3,Not
CA-2017-164364,CS-12355,2,2017-12-11,2017-12-11,98115,1,3,Not
US-2017-136707,JE-15610,2,2017-12-11,2017-12-11,90036,3,2,Not
CA-2017-163874,NC-18535,2,2017-10-11,2017-12-11,98105,2,2,Not
CA-2017-149944,MB-17305,2,2017-12-11,2017-12-11,98632,2,3,Not
CA-2017-154088,LB-16735,4,2017-12-11,2017-12-11,32303,1,3,Not
US-2017-132220,DJ-13510,2,2017-12-11,2017-12-11,85281,1,2,Not
CA-2017-106691,CC-12370,1,2017-06-11,2017-12-11,77070,1,3,Not
CA-2017-150504,HG-14845,1,2017-06-11,2017-12-11,75220,1,3,Not
US-2017-125808,EP-13915,2,2017-12-11,2017-12-11,90032,2,3,Not
CA-2017-166835,DK-13375,3,2017-12-11,2017-12-11,17602,2,3,Not
CA-2017-152702,SN-20710,1,2017-12-10,2017-12-10,61107,1,1,Not
CA-2017-149146,SM-20320,4,2017-12-10,2017-12-10,28110,4,1,Not
CA-2017-168655,ML-18040,2,2017-12-10,2017-12-10,87105,1,2,Not
CA-2017-126536,NK-18490,2,2017-12-10,2017-12-10,94110,3,1,Not
US-2017-136868,CR-12820,3,2017-06-10,2017-12-10,10035,1,1,Not
CA-2017-152709,DB-13210,1,2017-07-10,2017-12-10,48234,1,3,Not
CA-2017-112431,RW-19690,2,2017-12-10,2017-12-10,90049,2,3,Not
CA-2017-169362,SP-20860,1,2017-12-10,2017-12-10,75217,3,2,Not
CA-2017-150091,NP-18670,3,2017-12-10,2017-12-10,8701,1,3,Not
CA-2017-152933,MG-17650,1,2017-12-10,2017-12-10,75081,1,1,Not
CA-2017-130505,NF-18385,3,2017-12-10,2017-12-10,26003,4,3,Not
CA-2017-169607,CA-12265,3,2017-12-10,2017-12-10,10024,3,3,Not
CA-2017-112774,RC-19960,4,2017-11-09,2017-12-09,32216,3,3,Not
CA-2017-103611,JM-15535,2,2017-12-09,2017-12-09,90036,3,3,Not
CA-2017-140676,BF-11080,3,2017-12-09,2017-12-09,21215,3,3,Not
CA-2017-124401,RD-19900,2,2017-07-09,2017-12-09,97206,1,3,Yes
CA-2017-149559,KF-16285,2,2017-11-09,2017-12-09,90805,4,1,Not
CA-2017-149895,EB-14110,3,2017-08-09,2017-12-09,19134,1,3,Not
CA-2017-108749,DJ-13510,3,2017-12-09,2017-12-09,2895,3,2,Not
US-2017-109582,JM-15865,2,2017-12-09,2017-12-09,90036,2,3,Not
CA-2017-126396,AR-10345,1,2017-08-09,2017-12-09,77070,2,2,Not
US-2017-150070,JA-15970,2,2017-07-09,2017-12-09,95351,1,3,Not
CA-2017-128769,DM-12955,4,2017-07-09,2017-12-09,37211,1,2,Not
CA-2017-106537,RH-19495,4,2017-12-08,2017-12-08,32839,1,3,Not
CA-2017-117023,JW-15955,3,2017-07-08,2017-12-08,11561,1,3,Not
CA-2017-115175,MC-17575,2,2017-07-08,2017-12-08,95123,1,3,Not
CA-2017-158169,JM-16195,2,2017-12-08,2017-12-08,92630,3,3,Not
CA-2017-151981,GM-14455,3,2017-06-08,2017-12-08,3301,1,1,Not
US-2017-118941,BB-11545,3,2017-12-08,2017-12-08,21044,4,2,Not
CA-2017-152310,DK-12895,2,2017-12-08,2017-12-08,98103,1,3,Not
CA-2017-134306,TD-20995,3,2017-08-07,2017-12-07,1852,1,3,Not
CA-2017-115651,NS-18640,1,2017-09-07,2017-12-07,60610,3,2,Not
CA-2017-138464,VF-21715,2,2017-08-07,2017-12-07,98115,1,1,Not
CA-2017-140480,HE-14800,3,2017-08-07,2017-12-07,19711,1,2,Not
CA-2017-106047,CS-11860,3,2017-12-07,2017-12-07,45014,1,3,Not
CA-2017-111759,MR-17545,2,2017-08-07,2017-12-07,98103,1,1,Not
US-2017-155299,Dl-13600,1,2017-08-06,2017-12-06,77506,1,2,Not
CA-2017-148474,ME-17320,4,2017-12-06,2017-12-06,31907,1,1,Not
US-2017-120418,BC-11125,2,2017-11-06,2017-12-06,85345,3,1,Not
CA-2017-108441,SB-20170,3,2017-12-06,2017-12-06,10035,1,3,Not
CA-2017-143861,LC-16885,4,2017-12-06,2017-12-06,33710,1,3,Not
CA-2017-117821,HG-15025,3,2017-12-06,2017-12-06,43302,1,3,Not
CA-2017-119424,SB-20185,2,2017-12-06,2017-12-06,98031,2,3,Not
CA-2017-124191,TS-21610,1,2017-12-06,2017-12-06,60610,2,3,Not
CA-2017-149181,MD-17350,3,2017-08-05,2017-12-05,43229,1,3,Not
US-2017-158218,AC-10420,1,2017-12-05,2017-12-05,77041,2,2,Not
CA-2017-133865,PS-19045,2,2017-08-05,2017-12-05,90032,1,1,Not
CA-2017-104577,CK-12205,3,2017-12-05,2017-12-05,2149,1,3,Not
CA-2017-133823,LP-17080,2,2017-11-05,2017-12-05,98103,4,3,Not
CA-2017-156895,DJ-13510,3,2017-08-05,2017-12-05,19140,1,2,Not
CA-2017-159688,AB-10060,2,2017-07-05,2017-12-05,90004,1,1,Not
US-2017-106796,JP-16135,3,2017-12-05,2017-12-05,45503,1,1,Not
CA-2017-117632,CS-12175,2,2017-12-05,2017-12-05,94122,1,2,Not
CA-2017-152226,JH-15910,3,2017-12-05,2017-12-05,45231,1,3,Not
CA-2017-122175,CA-12775,3,2017-12-05,2017-12-05,8360,2,3,Not
US-2017-104451,MM-18055,2,2017-08-05,2017-12-05,94110,2,3,Not
US-2017-100930,CS-12400,4,2017-07-04,2017-12-04,33614,1,1,Not
CA-2017-122735,BD-11320,3,2017-12-04,2017-12-04,2908,2,3,Not
CA-2017-112900,KL-16645,1,2017-09-04,2017-12-04,48205,2,3,Not
CA-2017-150987,AH-10120,2,2017-08-04,2017-12-04,94110,1,1,Not
US-2017-136721,NH-18610,1,2017-08-04,2017-12-04,48237,1,2,Not
CA-2017-107265,ML-17755,1,2017-06-04,2017-12-04,52302,1,1,Not
CA-2017-136672,MG-17890,3,2017-07-03,2017-12-03,20735,1,1,Not
CA-2017-159352,KB-16585,3,2017-12-03,2017-12-03,1852,1,2,Not
CA-2017-116288,BS-11380,2,2017-12-03,2017-12-03,94122,1,2,Not
CA-2017-110884,SH-20395,3,2017-07-03,2017-12-03,10035,1,3,Not
CA-2017-152786,GA-14725,4,2017-12-03,2017-12-03,72756,1,3,Not
CA-2017-148642,DW-13540,1,2017-06-03,2017-12-03,75220,1,3,Not
US-2017-101840,SP-20545,3,2017-06-02,2017-12-02,10024,1,2,Not
US-2017-158512,DA-13450,3,2017-12-01,2017-12-01,20016,2,1,Not
CA-2017-108000,LS-16945,2,2017-12-01,2017-12-01,94110,1,2,Not
US-2017-148551,DB-13120,1,2017-12-01,2017-12-01,75217,1,2,Not
CA-2017-111689,HP-14815,3,2017-11-30,2017-11-30,10024,2,1,Not
CA-2017-119305,SW-20275,4,2017-11-30,2017-11-30,39212,1,3,Not
CA-2017-122700,LT-17110,3,2017-11-26,2017-11-30,43229,1,3,Not
CA-2017-165029,AH-10075,4,2017-11-26,2017-11-30,30318,1,2,Not
CA-2017-116645,ME-17725,3,2017-11-30,2017-11-30,19711,1,3,Not
US-2017-120089,ML-17755,3,2017-11-30,2017-11-30,43615,4,1,Not
CA-2017-146535,FM-14290,4,2017-11-24,2017-11-30,40475,1,1,Not
CA-2017-155957,CC-12610,3,2017-11-26,2017-11-30,43229,1,2,Not
US-2017-148768,PN-18775,4,2017-11-30,2017-11-30,33180,2,1,Not
CA-2017-102267,SC-20800,1,2017-11-30,2017-11-30,78539,1,3,Not
CA-2017-142090,SC-20380,4,2017-11-30,2017-11-30,27217,1,3,Not
CA-2017-155607,FG-14260,3,2017-11-26,2017-11-30,10009,1,1,Not
CA-2017-105333,VP-21730,3,2017-11-30,2017-11-30,10011,1,1,Not
CA-2017-107314,MZ-17335,2,2017-11-30,2017-11-30,94109,3,1,Not
CA-2017-103352,RP-19390,3,2017-11-27,2017-11-30,10011,2,3,Not
CA-2017-137365,BP-11095,1,2017-11-30,2017-11-30,79907,2,2,Not
CA-2017-124765,HZ-14950,4,2017-11-25,2017-11-30,33311,1,3,Not
CA-2017-150266,RO-19780,1,2017-11-25,2017-11-30,77070,1,3,Not
CA-2017-103765,JG-15310,1,2017-11-24,2017-11-30,79762,1,2,Not
US-2017-165456,TB-21625,3,2017-11-30,2017-11-30,19134,3,3,Not
US-2017-109610,BS-11590,4,2017-11-25,2017-11-30,40214,2,2,Not
CA-2017-164028,JL-15835,2,2017-11-24,2017-11-30,94122,1,3,Not
CA-2017-102519,BM-11650,1,2017-11-27,2017-11-29,53209,3,2,Yes
CA-2017-130526,GT-14755,1,2017-11-26,2017-11-29,61107,3,3,Not
CA-2017-169894,MV-17485,2,2017-11-24,2017-11-29,85204,2,3,Yes
CA-2017-131366,SC-20440,3,2017-11-24,2017-11-29,17602,1,2,Not
US-2017-133312,BD-11500,2,2017-11-25,2017-11-29,94122,1,3,Not
CA-2017-161459,EB-13750,2,2017-11-25,2017-11-29,92677,2,2,Yes
CA-2017-155159,DL-13315,4,2017-11-25,2017-11-29,30318,2,3,Not
CA-2017-100097,MN-17935,3,2017-11-26,2017-11-29,10009,2,3,Not
CA-2017-108035,TT-21070,4,2017-11-29,2017-11-29,37421,1,3,Not
CA-2017-119004,JM-15250,4,2017-11-23,2017-11-28,28205,1,3,Not
CA-2017-101945,GT-14710,1,2017-11-24,2017-11-28,77070,1,3,Not
US-2017-110576,RB-19795,3,2017-11-28,2017-11-28,19120,1,1,Not
CA-2017-166436,TS-21370,3,2017-11-24,2017-11-28,10035,1,2,Not
CA-2017-121538,RH-19495,2,2017-11-28,2017-11-28,80219,3,3,Not
CA-2017-123372,DG-13300,3,2017-11-28,2017-11-28,10035,1,2,Not
CA-2017-117702,LS-16975,3,2017-11-28,2017-11-28,21215,1,1,Not
CA-2017-131303,EP-13915,2,2017-11-28,2017-11-28,92037,1,3,Not
CA-2017-135307,LS-17245,1,2017-11-26,2017-11-27,64118,3,3,Not
CA-2017-101245,LW-16990,2,2017-11-27,2017-11-27,94109,1,2,Not
CA-2017-132185,DB-13615,4,2017-11-27,2017-11-27,28806,1,3,Not
CA-2017-146724,HG-15025,1,2017-11-20,2017-11-27,55044,1,3,Not
CA-2017-129000,SZ-20035,1,2017-11-25,2017-11-27,48187,2,1,Not
CA-2017-123701,PG-18820,2,2017-11-24,2017-11-27,94110,3,3,Not
CA-2017-119746,CM-12385,1,2017-11-23,2017-11-27,60610,1,3,Not
CA-2017-107125,BD-11320,2,2017-11-27,2017-11-27,90045,1,3,Not
CA-2017-133207,DO-13645,2,2017-11-27,2017-11-27,90036,1,3,Not
CA-2017-166919,AH-10210,1,2017-11-23,2017-11-27,75220,1,3,Not
CA-2017-159506,JR-16210,1,2017-11-27,2017-11-27,47201,1,2,Not
CA-2017-148992,CS-12250,1,2017-11-23,2017-11-27,60623,1,2,Not
CA-2017-149160,JM-15265,1,2017-11-23,2017-11-26,48187,2,2,Not
US-2017-161193,BT-11680,3,2017-11-20,2017-11-26,43055,1,3,Not
US-2017-139969,AF-10870,1,2017-11-19,2017-11-26,77840,1,3,Not
CA-2017-128300,RS-19765,4,2017-11-24,2017-11-26,29483,2,2,Not
CA-2017-107832,FH-14275,3,2017-11-23,2017-11-26,19120,2,2,Not
CA-2017-144036,FO-14305,1,2017-11-22,2017-11-26,77070,1,3,Not
CA-2017-153654,MD-17860,4,2017-11-24,2017-11-26,28806,2,2,Not
CA-2017-141439,TT-21460,1,2017-11-26,2017-11-26,47374,1,1,Not
CA-2017-156622,JP-15460,1,2017-11-23,2017-11-26,75220,3,2,Not
CA-2017-142888,BP-11230,2,2017-11-21,2017-11-25,99207,1,3,Yes
US-2017-110996,KA-16525,2,2017-11-20,2017-11-25,91761,1,3,Not
US-2017-137491,LC-16930,1,2017-11-19,2017-11-25,76903,1,2,Not
CA-2017-107874,SW-20275,3,2017-11-21,2017-11-25,10035,1,3,Not
CA-2017-103380,BF-11005,2,2017-11-21,2017-11-25,91104,1,1,Yes
CA-2017-154123,SC-20050,4,2017-11-20,2017-11-25,42420,1,1,Not
US-2017-108014,JH-15430,3,2017-11-19,2017-11-25,44105,1,3,Not
CA-2017-105130,PJ-18835,2,2017-11-21,2017-11-25,94122,1,2,Not
CA-2017-110443,CK-12205,2,2017-11-21,2017-11-25,98059,1,3,Not
CA-2017-167017,DC-12850,1,2017-11-23,2017-11-25,48066,3,3,Not
CA-2017-101665,TZ-21580,2,2017-11-25,2017-11-25,94122,1,3,Not
CA-2017-143434,ME-17320,1,2017-11-18,2017-11-24,48601,1,1,Not
CA-2017-126242,MC-18100,2,2017-11-19,2017-11-24,90049,1,3,Not
CA-2017-103156,TD-20995,3,2017-11-23,2017-11-24,19120,3,3,Not
CA-2017-100811,CC-12475,3,2017-11-21,2017-11-24,19143,3,3,Not
CA-2017-168641,KA-16525,3,2017-11-24,2017-11-24,10035,1,3,Not
CA-2017-103499,ES-14020,4,2017-11-20,2017-11-24,38301,1,3,Not
CA-2017-118122,GG-14650,2,2017-11-17,2017-11-24,98103,1,2,Yes
CA-2017-120404,KH-16330,3,2017-11-20,2017-11-24,10035,2,2,Not
CA-2017-105543,BG-11695,1,2017-11-24,2017-11-24,67846,4,2,Not
CA-2017-162250,PR-18880,2,2017-11-24,2017-11-24,94109,4,3,Not
US-2017-128118,MY-17380,4,2017-11-24,2017-11-24,38109,1,2,Not
CA-2017-137505,BP-11290,2,2017-11-24,2017-11-24,90008,4,3,Not
US-2017-152380,JH-15910,1,2017-11-19,2017-11-23,60623,1,3,Not
US-2017-158946,JW-15220,3,2017-11-18,2017-11-23,44107,1,2,Not
CA-2017-165687,CS-12355,4,2017-11-17,2017-11-23,24153,1,3,Not
CA-2017-101042,AB-10105,4,2017-11-19,2017-11-23,42420,1,3,Not
CA-2017-124674,JB-16000,1,2017-11-17,2017-11-23,78521,1,3,Not
CA-2017-168858,JD-16150,3,2017-11-19,2017-11-23,10011,1,2,Not
CA-2017-167871,AF-10870,4,2017-11-18,2017-11-23,33030,1,3,Not
CA-2017-110926,DD-13570,4,2017-11-19,2017-11-23,22304,1,3,Not
