"cliente","genero","nivel_educativo","ocupacion","propietario_casa","estado_civil","ingreso_anual","numero_hijos","unidades_compradas"
"1049","M","Universitaria Postgrado","Empresario","Si","Soltero",70000,5,"1"
"105","F","Universitaria Completa","Empresario","Si","Casado",130000,1,"1"
"1050","M","Universitaria Completa","Empresario","Si","Soltero",100000,2,"1"
"1051","M","Universitaria Incompleta","Empleado","Si","Casado",60000,0,"1"
"1052","M","Universitaria Incompleta","Empleado","No","Casado",70000,0,"1"
"1053","M","Universitaria Incompleta","Empleado","Si","Soltero",60000,0,"1"
"1054","M","Universitaria Incompleta","Empleado","No","Soltero",60000,0,"1"
"1055","M","Universitaria Completa","Empleado","Si","Casado",50000,1,"1"
"1056","M","Universitaria Completa","Empleado","Si","Casado",50000,1,"1"
"1057","M","Universitaria Completa","Empleado","Si","Casado",50000,2,"1"
"1058","M","Universitaria Incompleta","Deportista","Si","Soltero",30000,2,"1"
"1059","M","Universitaria Incompleta","Deportista","Si","Soltero",30000,2,"1"
"106","F","Universitaria Postgrado","Empresario","Si","Soltero",50000,2,"1"
"1060","M","Universitaria Incompleta","Deportista","No","Casado",30000,0,"1"
"1061","M","Universitaria Incompleta","Deportista","No","Soltero",30000,0,"1"
"1062","M","Secundaria Completa","Independiente","Si","Casado",90000,2,"1"
"1063","M","Secundaria Completa","Independiente","Si","Soltero",70000,5,"1"
"1064","M","Universitaria Completa","Empresario","Si","Casado",100000,3,"1"
"1065","M","Universitaria Incompleta","Independiente","Si","Casado",110000,2,"1"
"1066","M","Universitaria Incompleta","Independiente","Si","Soltero",110000,2,"1"
"1067","M","Secundaria Completa","Empresario","Si","Casado",90000,4,"1"
"1068","M","Secundaria Completa","Comerciante","No","Soltero",30000,0,"1"
"1069","M","Universitaria Incompleta","Deportista","Si","Soltero",40000,2,"1"
"107","F","Universitaria Postgrado","Deportista","Si","Casado",40000,3,"1"
"1070","M","Universitaria Incompleta","Comerciante","Si","Soltero",10000,2,"1"
"1071","M","Universitaria Incompleta","Comerciante","No","Soltero",20000,1,"1"
"1072","M","Universitaria Incompleta","Comerciante","Si","Casado",20000,2,"1"
"1073","M","Universitaria Completa","Deportista","Si","Casado",30000,3,"1"
"1074","M","Universitaria Completa","Deportista","Si","Casado",30000,0,"1"
"1075","M","Universitaria Incompleta","Comerciante","No","Soltero",20000,0,"1"
"1076","M","Universitaria Completa","Deportista","Si","Soltero",30000,0,"1"
"1077","M","Universitaria Completa","Deportista","Si","Casado",30000,1,"1"
"1078","M","Secundaria Completa","Comerciante","Si","Soltero",10000,3,"1"
"1079","M","Universitaria Incompleta","Comerciante","No","Soltero",20000,1,"1"
"108","F","Universitaria Postgrado","Empleado","Si","Soltero",40000,1,"1"
"1080","M","Universitaria Completa","Deportista","Si","Casado",30000,0,"1"
"1081","M","Universitaria Completa","Deportista","Si","Soltero",30000,0,"1"
"1082","M","Universitaria Incompleta","Comerciante","No","Soltero",20000,0,"1"
"1083","M","Universitaria Postgrado","Deportista","Si","Soltero",40000,0,"1"
"1084","M","Universitaria Incompleta","Comerciante","Si","Casado",20000,2,"1"
"1085","M","Universitaria Completa","Deportista","Si","Casado",30000,1,"1"
"1086","M","Secundaria Incompleta","Comerciante","Si","Soltero",10000,4,"1"
"1087","M","Universitaria Completa","Deportista","Si","Casado",40000,0,"1"
"1088","M","Universitaria Incompleta","Deportista","Si","Casado",30000,1,"1"
"1089","M","Universitaria Incompleta","Deportista","Si","Soltero",30000,3,"1"
"109","F","Universitaria Incompleta","Comerciante","Si","Soltero",10000,2,"1"
"1090","M","Universitaria Incompleta","Deportista","No","Soltero",30000,0,"1"
"1091","M","Universitaria Incompleta","Independiente","Si","Casado",130000,3,"1"
"1092","M","Secundaria Incompleta","Independiente","Si","Casado",120000,2,"1"
"1093","M","Universitaria Incompleta","Independiente","No","Casado",110000,2,"1"
"1094","M","Universitaria Completa","Empresario","No","Casado",120000,2,"1"
"1095","M","Secundaria Incompleta","Empleado","No","Casado",90000,4,"1"
"1096","M","Secundaria Completa","Comerciante","No","Soltero",30000,0,"1"
"1097","M","Secundaria Completa","Independiente","Si","Casado",120000,2,"1"
"1098","M","Secundaria Completa","Independiente","No","Casado",120000,3,"1"
"1099","M","Secundaria Completa","Independiente","Si","Casado",120000,3,"1"
"11","M","Universitaria Postgrado","Independiente","Si","Casado",70000,4,"1"
"110","F","Universitaria Completa","Empleado","Si","Soltero",50000,5,"1"
"1100","M","Universitaria Incompleta","Independiente","No","Soltero",130000,3,"1"
"1101","M","Universitaria Completa","Empresario","No","Soltero",130000,3,"1"
"1102","M","Secundaria Completa","Independiente","No","Soltero",130000,4,"1"
"1103","M","Universitaria Incompleta","Empresario","Si","Casado",100000,3,"1"
"1104","M","Secundaria Completa","Empresario","Si","Casado",160000,4,"1"
"1105","M","Secundaria Incompleta","Independiente","Si","Casado",100000,3,"1"
"1106","M","Universitaria Completa","Empleado","Si","Casado",40000,1,"1"
"1107","M","Universitaria Completa","Empleado","Si","Casado",40000,1,"1"
"1108","M","Secundaria Completa","Comerciante","Si","Soltero",30000,0,"1"
"1109","M","Secundaria Completa","Comerciante","No","Soltero",30000,0,"1"
"111","F","Universitaria Postgrado","Empleado","Si","Soltero",50000,1,"1"
"1110","M","Universitaria Incompleta","Comerciante","Si","Casado",10000,2,"1"
"1111","M","Universitaria Postgrado","Deportista","Si","Soltero",40000,1,"1"
"1112","M","Universitaria Completa","Deportista","Si","Soltero",30000,1,"1"
"1113","M","Universitaria Postgrado","Deportista","Si","Casado",30000,4,"1"
"1114","M","Universitaria Postgrado","Deportista","Si","Casado",30000,4,"1"
"1115","M","Universitaria Postgrado","Deportista","Si","Soltero",30000,3,"1"
"1116","M","Universitaria Incompleta","Comerciante","No","Soltero",20000,1,"1"
"1117","M","Universitaria Incompleta","Comerciante","Si","Casado",20000,2,"1"
"1118","M","Universitaria Completa","Deportista","Si","Casado",30000,1,"1"
"1119","M","Universitaria Incompleta","Comerciante","No","Soltero",20000,0,"1"
"112","F","Universitaria Completa","Independiente","Si","Casado",60000,1,"1"
"1120","M","Universitaria Completa","Deportista","No","Soltero",30000,0,"1"
"1121","M","Universitaria Postgrado","Deportista","Si","Casado",40000,0,"1"
"1122","M","Universitaria Completa","Independiente","Si","Casado",130000,0,"1"
"1123","M","Secundaria Completa","Comerciante","Si","Soltero",10000,2,"1"
"1124","M","Secundaria Completa","Comerciante","Si","Soltero",10000,3,"1"
"1125","M","Universitaria Completa","Deportista","No","Soltero",20000,0,"1"
"1126","M","Universitaria Completa","Deportista","Si","Soltero",20000,0,"1"
"1127","M","Universitaria Completa","Deportista","Si","Soltero",20000,0,"1"
"1128","M","Universitaria Completa","Deportista","No","Soltero",20000,0,"1"
"1129","M","Universitaria Completa","Deportista","Si","Casado",20000,0,"1"
"113","F","Universitaria Completa","Empleado","Si","Soltero",80000,3,"1"
"1130","M","Universitaria Incompleta","Comerciante","No","Soltero",20000,0,"1"
"1131","M","Universitaria Completa","Independiente","No","Casado",90000,0,"1"
"1132","M","Universitaria Incompleta","Empresario","Si","Soltero",110000,0,"1"
"1133","M","Universitaria Incompleta","Empresario","No","Casado",110000,0,"1"
"1134","M","Secundaria Incompleta","Independiente","Si","Casado",100000,0,"1"
"1135","M","Secundaria Incompleta","Independiente","Si","Casado",120000,0,"1"
"1136","M","Secundaria Completa","Empresario","Si","Casado",110000,0,"1"
"1137","M","Secundaria Incompleta","Independiente","No","Soltero",110000,0,"1"
"1138","M","Universitaria Completa","Empresario","No","Casado",40000,2,"1"
"1139","M","Universitaria Incompleta","Deportista","No","Soltero",30000,2,"1"
"114","F","Universitaria Postgrado","Independiente","Si","Casado",70000,4,"1"
"1140","M","Secundaria Completa","Empleado","Si","Casado",20000,4,"1"
"1141","M","Secundaria Completa","Empleado","Si","Casado",20000,2,"1"
"1142","M","Secundaria Incompleta","Deportista","Si","Casado",20000,2,"1"
"1143","M","Universitaria Incompleta","Deportista","No","Soltero",30000,3,"1"
"1144","M","Secundaria Incompleta","Deportista","Si","Casado",20000,2,"1"
"1145","M","Secundaria Incompleta","Deportista","Si","Soltero",20000,2,"1"
"1146","M","Secundaria Incompleta","Deportista","Si","Soltero",20000,2,"1"
"1147","M","Secundaria Completa","Empleado","Si","Casado",30000,3,"1"
"1148","M","Secundaria Incompleta","Deportista","Si","Soltero",40000,3,"1"
"1149","M","Secundaria Completa","Empleado","Si","Soltero",80000,2,"1"
"115","F","Universitaria Postgrado","Empleado","Si","Soltero",60000,1,"1"
"1150","M","Secundaria Completa","Empleado","Si","Casado",70000,2,"1"
"1151","M","Secundaria Completa","Empleado","Si","Soltero",70000,2,"1"
"1152","M","Universitaria Postgrado","Empresario","Si","Casado",80000,4,"1"
"1153","M","Universitaria Postgrado","Empresario","Si","Casado",100000,1,"1"
"1154","M","Universitaria Postgrado","Empresario","No","Casado",80000,5,"1"
"1155","M","Universitaria Completa","Independiente","Si","Soltero",70000,0,"1"
"1156","M","Universitaria Completa","Independiente","Si","Casado",60000,3,"1"
"1157","M","Universitaria Completa","Independiente","Si","Soltero",70000,0,"1"
"1158","M","Universitaria Incompleta","Empleado","Si","Casado",60000,1,"1"
"1159","M","Universitaria Completa","Independiente","Si","Casado",80000,5,"1"
"116","F","Universitaria Completa","Empleado","No","Soltero",40000,2,"1"
"1160","M","Universitaria Incompleta","Empleado","Si","Casado",60000,1,"1"
"1161","M","Universitaria Incompleta","Empleado","Si","Casado",70000,1,"1"
"1162","M","Universitaria Incompleta","Empleado","Si","Casado",60000,3,"1"
"1163","M","Universitaria Completa","Empresario","Si","Soltero",40000,2,"1"
"1164","M","Universitaria Completa","Empresario","Si","Casado",40000,2,"1"
"1165","M","Universitaria Completa","Empresario","No","Casado",40000,2,"1"
"1166","M","Universitaria Completa","Empresario","No","Soltero",40000,2,"1"
"1167","M","Universitaria Completa","Empresario","No","Casado",40000,2,"1"
"1168","M","Universitaria Completa","Empresario","Si","Casado",40000,2,"1"
"1169","M","Secundaria Incompleta","Empresario","Si","Soltero",130000,0,"1"
"117","F","Universitaria Incompleta","Deportista","No","Casado",30000,0,"1"
"1170","M","Universitaria Completa","Independiente","Si","Soltero",70000,0,"1"
"1171","M","Universitaria Completa","Independiente","Si","Soltero",70000,0,"1"
"1172","M","Universitaria Completa","Independiente","No","Soltero",80000,0,"1"
"1173","M","Universitaria Completa","Independiente","Si","Casado",90000,0,"1"
"1174","M","Secundaria Completa","Empresario","Si","Soltero",100000,0,"1"
"1175","M","Secundaria Completa","Empresario","No","Soltero",100000,0,"1"
"1176","M","Secundaria Completa","Empresario","No","Soltero",110000,0,"1"
"1177","M","Secundaria Completa","Empresario","No","Soltero",110000,0,"1"
"1178","M","Secundaria Completa","Empleado","No","Soltero",20000,4,"1"
"1179","M","Secundaria Incompleta","Deportista","Si","Soltero",20000,2,"1"
"118","F","Universitaria Incompleta","Independiente","Si","Casado",70000,4,"1"
"1180","M","Universitaria Incompleta","Empleado","Si","Casado",40000,2,"1"
"1181","M","Universitaria Incompleta","Empleado","Si","Casado",40000,2,"1"
"1182","M","Universitaria Incompleta","Empleado","Si","Casado",80000,2,"1"
"1183","M","Secundaria Completa","Empleado","Si","Soltero",80000,2,"1"
"1184","M","Secundaria Completa","Empleado","No","Soltero",70000,2,"1"
"1185","M","Secundaria Completa","Empleado","No","Soltero",30000,0,"1"
"1186","M","Secundaria Completa","Empleado","No","Soltero",40000,0,"1"
"1187","M","Universitaria Postgrado","Empleado","Si","Casado",80000,0,"1"
"1188","M","Secundaria Completa","Deportista","No","Soltero",30000,1,"1"
"1189","M","Secundaria Completa","Empleado","Si","Soltero",30000,2,"1"
"119","F","Universitaria Incompleta","Independiente","Si","Soltero",70000,5,"1"
"1190","M","Universitaria Incompleta","Deportista","Si","Soltero",40000,2,"1"
"1191","M","Universitaria Postgrado","Empleado","Si","Casado",40000,0,"1"
"1192","M","Universitaria Postgrado","Empleado","Si","Soltero",40000,0,"1"
"1193","M","Secundaria Completa","Empleado","Si","Soltero",40000,4,"1"
"1194","M","Universitaria Postgrado","Empleado","No","Casado",70000,1,"1"
"1195","M","Universitaria Completa","Empleado","Si","Casado",40000,1,"1"
"1196","M","Universitaria Completa","Empleado","No","Casado",40000,1,"1"
"1197","M","Universitaria Completa","Empleado","Si","Casado",40000,1,"1"
"1198","M","Universitaria Postgrado","Independiente","Si","Casado",60000,1,"1"
"1199","M","Universitaria Postgrado","Independiente","Si","Soltero",60000,1,"1"
"12","M","Universitaria Completa","Independiente","No","Casado",40000,0,"1"
"120","F","Universitaria Postgrado","Empresario","Si","Casado",70000,4,"1"
"1200","M","Universitaria Postgrado","Empleado","Si","Casado",40000,0,"1"
"1201","M","Universitaria Postgrado","Empleado","Si","Casado",50000,1,"1"
"1202","M","Secundaria Completa","Empresario","Si","Casado",100000,0,"1"
"1203","M","Universitaria Completa","Independiente","No","Soltero",90000,0,"1"
"1204","M","Universitaria Postgrado","Deportista","Si","Casado",40000,3,"1"
"1205","M","Universitaria Completa","Deportista","Si","Soltero",30000,0,"1"
"1206","M","Universitaria Completa","Independiente","No","Soltero",90000,0,"1"
"1207","M","Secundaria Completa","Comerciante","Si","Soltero",10000,2,"1"
"1208","M","Universitaria Completa","Independiente","No","Casado",90000,0,"1"
"1209","M","Universitaria Completa","Independiente","Si","Soltero",60000,3,"1"
"121","F","Universitaria Incompleta","Independiente","Si","Casado",60000,2,"1"
"1210","M","Universitaria Completa","Independiente","No","Soltero",70000,0,"1"
"1211","M","Universitaria Completa","Independiente","Si","Soltero",70000,5,"1"
"1212","M","Universitaria Completa","Independiente","Si","Casado",70000,5,"1"
"1213","M","Universitaria Completa","Empresario","No","Soltero",130000,2,"1"
"1214","M","Secundaria Completa","Independiente","No","Casado",120000,3,"1"
"1215","M","Universitaria Postgrado","Deportista","Si","Soltero",40000,0,"1"
"1216","M","Universitaria Completa","Independiente","No","Soltero",80000,0,"1"
"1217","M","Universitaria Completa","Independiente","Si","Casado",90000,0,"1"
"1218","M","Universitaria Incompleta","Independiente","Si","Soltero",80000,4,"1"
"1219","M","Secundaria Incompleta","Independiente","Si","Casado",120000,5,"1"
"122","F","Universitaria Incompleta","Deportista","Si","Soltero",30000,2,"1"
"1220","M","Universitaria Completa","Empresario","Si","Casado",170000,4,"1"
"1221","M","Universitaria Postgrado","Deportista","Si","Casado",20000,1,"1"
"1222","M","Universitaria Postgrado","Empresario","Si","Soltero",110000,1,"1"
"1223","M","Universitaria Completa","Independiente","No","Soltero",60000,2,"1"
"1224","M","Universitaria Postgrado","Empresario","Si","Casado",90000,2,"1"
"1225","M","Universitaria Incompleta","Comerciante","Si","Soltero",20000,2,"1"
"1226","M","Universitaria Postgrado","Empresario","Si","Casado",100000,1,"1"
"1227","M","Universitaria Completa","Independiente","Si","Casado",90000,2,"1"
"1228","M","Universitaria Postgrado","Empresario","Si","Casado",90000,1,"1"
"1229","M","Universitaria Incompleta","Independiente","Si","Casado",110000,4,"1"
"123","F","Universitaria Incompleta","Independiente","Si","Soltero",80000,3,"1"
"1230","M","Universitaria Postgrado","Empresario","Si","Casado",100000,1,"1"
"1231","M","Universitaria Completa","Independiente","Si","Casado",80000,5,"1"
"1232","M","Universitaria Incompleta","Deportista","No","Casado",40000,2,"1"
"1233","M","Secundaria Incompleta","Comerciante","Si","Soltero",20000,0,"1"
"1234","M","Secundaria Incompleta","Comerciante","No","Casado",20000,0,"1"
"1235","M","Universitaria Incompleta","Deportista","Si","Soltero",40000,2,"1"
"1236","M","Universitaria Postgrado","Empresario","Si","Soltero",80000,5,"1"
"1237","M","Universitaria Completa","Independiente","Si","Soltero",90000,2,"1"
"1238","M","Universitaria Completa","Independiente","No","Soltero",70000,0,"1"
"1239","M","Universitaria Completa","Independiente","Si","Soltero",70000,0,"1"
"124","F","Universitaria Incompleta","Independiente","Si","Casado",70000,4,"1"
"1240","M","Universitaria Incompleta","Empleado","No","Soltero",80000,2,"1"
"1241","M","Universitaria Completa","Independiente","Si","Casado",60000,4,"1"
"1242","M","Secundaria Completa","Empleado","No","Soltero",70000,2,"1"
"1243","M","Secundaria Incompleta","Deportista","Si","Casado",20000,2,"1"
"1244","M","Universitaria Postgrado","Empresario","No","Soltero",130000,0,"1"
"1245","M","Universitaria Completa","Independiente","Si","Soltero",70000,0,"1"
"1246","M","Universitaria Completa","Independiente","Si","Casado",60000,1,"1"
"1247","M","Universitaria Completa","Independiente","No","Soltero",70000,0,"1"
"1248","M","Universitaria Incompleta","Empleado","Si","Casado",60000,1,"1"
"1249","M","Universitaria Incompleta","Empleado","Si","Casado",60000,1,"1"
"125","F","Universitaria Incompleta","Deportista","Si","Casado",40000,1,"1"
"1250","M","Universitaria Incompleta","Empleado","Si","Casado",60000,1,"1"
"1251","M","Universitaria Completa","Independiente","Si","Soltero",70000,0,"1"
"1252","M","Universitaria Incompleta","Empleado","Si","Casado",80000,1,"1"
"1253","M","Secundaria Completa","Empleado","Si","Casado",10000,2,"1"
"1254","M","Universitaria Completa","Independiente","No","Soltero",70000,0,"1"
"1255","M","Universitaria Incompleta","Comerciante","Si","Casado",20000,0,"1"
"1256","M","Secundaria Completa","Comerciante","Si","Casado",10000,1,"1"
"1257","M","Universitaria Postgrado","Empresario","Si","Casado",70000,2,"1"
"1258","M","Secundaria Completa","Comerciante","No","Soltero",10000,1,"1"
"1259","M","Universitaria Incompleta","Comerciante","Si","Soltero",10000,0,"1"
"126","F","Universitaria Incompleta","Deportista","Si","Casado",40000,1,"1"
"1260","M","Universitaria Incompleta","Comerciante","No","Soltero",10000,0,"1"
"1261","M","Universitaria Incompleta","Comerciante","No","Casado",20000,0,"1"
"1262","M","Universitaria Incompleta","Comerciante","No","Soltero",10000,0,"1"
"1263","M","Secundaria Completa","Independiente","Si","Casado",60000,2,"1"
"1264","M","Universitaria Postgrado","Independiente","Si","Casado",60000,1,"1"
"1265","M","Universitaria Postgrado","Independiente","Si","Casado",60000,1,"1"
"1266","M","Universitaria Postgrado","Independiente","Si","Casado",60000,1,"1"
"1267","M","Universitaria Postgrado","Independiente","Si","Soltero",60000,0,"1"
"1268","M","Universitaria Completa","Independiente","Si","Soltero",70000,4,"1"
"1269","M","Universitaria Completa","Independiente","Si","Casado",70000,4,"1"
"127","F","Universitaria Postgrado","Empleado","Si","Soltero",80000,5,"1"
"1270","M","Secundaria Completa","Comerciante","Si","Soltero",10000,2,"1"
"1271","M","Universitaria Completa","Independiente","Si","Soltero",70000,4,"1"
"1272","M","Universitaria Postgrado","Independiente","No","Casado",60000,3,"1"
"1273","M","Secundaria Completa","Empleado","Si","Casado",40000,3,"1"
"1274","M","Secundaria Completa","Empleado","Si","Soltero",40000,4,"1"
"1275","M","Universitaria Incompleta","Empleado","Si","Casado",60000,1,"1"
"1276","M","Universitaria Incompleta","Empleado","No","Soltero",50000,0,"1"
"1277","M","Universitaria Incompleta","Empleado","No","Soltero",50000,0,"1"
"1278","M","Universitaria Incompleta","Empleado","Si","Casado",80000,1,"1"
"1279","M","Universitaria Completa","Independiente","Si","Casado",60000,1,"1"
"128","F","Universitaria Postgrado","Empleado","Si","Soltero",60000,1,"1"
"1280","M","Universitaria Completa","Independiente","No","Soltero",60000,1,"1"
"1281","M","Universitaria Postgrado","Independiente","Si","Casado",80000,5,"1"
"1282","M","Universitaria Incompleta","Independiente","No","Casado",90000,2,"1"
"1283","M","Secundaria Completa","Independiente","No","Soltero",60000,2,"1"
"1284","M","Universitaria Incompleta","Independiente","Si","Soltero",100000,4,"1"
"1285","M","Universitaria Completa","Empresario","Si","Soltero",110000,2,"1"
"1286","M","Universitaria Postgrado","Empresario","Si","Casado",130000,1,"1"
"1287","M","Universitaria Postgrado","Empresario","No","Soltero",170000,0,"1"
"1288","M","Universitaria Incompleta","Independiente","Si","Soltero",90000,2,"1"
"1289","M","Universitaria Completa","Empresario","No","Soltero",130000,1,"1"
"129","F","Universitaria Postgrado","Empleado","Si","Soltero",60000,0,"1"
"1290","M","Universitaria Completa","Empresario","No","Casado",160000,1,"1"
"1291","M","Universitaria Completa","Empresario","No","Soltero",110000,1,"1"
"1292","M","Universitaria Completa","Empresario","Si","Soltero",110000,1,"1"
"1293","M","Secundaria Completa","Independiente","Si","Casado",90000,2,"1"
"1294","M","Universitaria Postgrado","Empresario","No","Soltero",130000,2,"1"
"1295","M","Universitaria Postgrado","Empresario","No","Soltero",130000,2,"1"
"1296","M","Secundaria Completa","Independiente","Si","Soltero",120000,5,"1"
"1297","M","Secundaria Completa","Independiente","Si","Casado",70000,3,"1"
"1298","M","Universitaria Postgrado","Empresario","Si","Casado",70000,3,"1"
"1299","M","Universitaria Postgrado","Empresario","Si","Soltero",70000,3,"1"
"13","M","Universitaria Postgrado","Independiente","Si","Casado",80000,2,"1"
"130","F","Universitaria Incompleta","Comerciante","Si","Soltero",10000,3,"1"
"1300","M","Universitaria Incompleta","Deportista","No","Soltero",30000,0,"1"
"1301","M","Universitaria Postgrado","Comerciante","Si","Casado",10000,0,"1"
"1302","M","Universitaria Incompleta","Comerciante","No","Soltero",10000,2,"1"
"1303","M","Universitaria Incompleta","Comerciante","No","Soltero",20000,2,"1"
"1304","M","Universitaria Postgrado","Deportista","No","Soltero",30000,3,"1"
"1305","F","Universitaria Postgrado","Empresario","No","Casado",110000,1,"1"
"1306","F","Universitaria Completa","Independiente","No","Soltero",60000,2,"1"
"1307","F","Universitaria Completa","Independiente","Si","Casado",90000,2,"1"
"1308","F","Secundaria Completa","Empresario","Si","Casado",110000,0,"1"
"1309","F","Universitaria Completa","Independiente","Si","Casado",90000,0,"1"
"131","F","Universitaria Incompleta","Independiente","No","Soltero",90000,5,"1"
"1310","F","Universitaria Postgrado","Empresario","Si","Casado",80000,4,"1"
"1311","F","Universitaria Completa","Independiente","Si","Casado",60000,2,"1"
"1312","F","Universitaria Incompleta","Independiente","No","Casado",80000,4,"1"
"1313","F","Universitaria Completa","Empleado","Si","Casado",40000,1,"1"
"1314","F","Universitaria Incompleta","Independiente","Si","Casado",130000,3,"1"
"1315","F","Universitaria Completa","Independiente","No","Soltero",80000,0,"1"
"1316","F","Universitaria Postgrado","Deportista","Si","Soltero",40000,3,"1"
"1317","F","Universitaria Completa","Independiente","No","Soltero",80000,0,"1"
"1318","F","Universitaria Completa","Independiente","No","Soltero",80000,0,"1"
"1319","F","Universitaria Postgrado","Comerciante","Si","Soltero",10000,1,"1"
"132","F","Secundaria Completa","Empresario","Si","Casado",110000,4,"1"
"1320","F","Universitaria Completa","Comerciante","Si","Casado",10000,1,"1"
"1321","F","Universitaria Completa","Deportista","Si","Soltero",30000,0,"1"
"1322","F","Universitaria Postgrado","Empresario","Si","Soltero",80000,4,"1"
"1323","F","Universitaria Incompleta","Independiente","Si","Soltero",80000,4,"1"
"1324","F","Universitaria Completa","Empresario","Si","Casado",110000,3,"1"
"1325","F","Secundaria Completa","Comerciante","No","Soltero",30000,0,"1"
"1326","F","Universitaria Incompleta","Independiente","No","Casado",80000,4,"1"
"1327","F","Universitaria Incompleta","Independiente","Si","Casado",110000,2,"1"
"1328","F","Universitaria Completa","Empresario","Si","Soltero",120000,2,"1"
"1329","F","Universitaria Postgrado","Empresario","Si","Soltero",80000,5,"1"
"133","F","Universitaria Completa","Deportista","Si","Casado",30000,1,"1"
